Row ID,Order ID,Order Date,Date Key,Contact Name,Country,City,Region,Subregion,Customer,Customer ID,Industry,Segment,Product,License,Sales,Quantity,Discount,Profit,Profit Margin,Discount Effectiveness,Sales per Unit,Year,Month,Discount Level,Discount Effectiveness Level
1,EMEA-2022-152156,2022-11-09,20221109,Nathan Bell,Ireland,Dublin,EMEA,UKIR,Chevron,1017,Energy,SMB,Marketing Suite,16GRM07R1K,261.96,2.0,0.0,41.9136,0.16000000000000003,0.0,130.98,2022,11,Low,Low
2,EMEA-2022-152156,2022-11-09,20221109,Nathan Bell,Ireland,Dublin,EMEA,UKIR,Chevron,1017,Energy,SMB,FinanceHub,QLIW57KZUV,498.93,3.0,0.0,70.816875,0.14193749624195778,0.0,166.31,2022,11,Low,Low
3,AMER-2022-138688,2022-06-13,20220613,Deirdre Bailey,United States,New York City,AMER,NAMER,Phillips 66,1056,Energy,Strategic,FinanceHub,JI6BVL70HQ,14.62,2.0,0.0,6.8714,0.47000000000000003,0.0,7.31,2022,6,Low,Low
4,EMEA-2021-108966,2021-10-11,20211011,Zoe Hodges,Germany,Stuttgart,EMEA,EU-WEST,Royal Dutch Shell,1031,Energy,SMB,ContactMatcher,DE9GJKGD44,498.93,5.0,0.45,-39.724125,-0.0796186338764957,-88.27583333333334,99.786,2021,10,High,Low
5,EMEA-2021-108966,2021-10-11,20211011,Zoe Hodges,Germany,Stuttgart,EMEA,EU-WEST,Royal Dutch Shell,1031,Energy,SMB,Marketing Suite - Gold,OIF7NY23WD,22.368,2.0,0.2,2.5164,0.1125,12.581999999999999,11.184,2021,10,Low,High
6,AMER-2020-115812,2020-06-09,20200609,Thomas Hodges,United States,New York City,AMER,NAMER,BNP Paribas,1065,Finance,SMB,SaaS Connector Pack,8RM88WFOAE,48.86,7.0,0.0,14.1694,0.29,0.0,6.9799999999999995,2020,6,Low,Low
7,AMER-2020-115812,2020-06-09,20200609,Thomas Hodges,United States,New York City,AMER,NAMER,BNP Paribas,1065,Finance,SMB,ChatBot Plugin,4SYTVM0746,7.28,4.0,0.0,1.9656,0.27,0.0,1.82,2020,6,Low,Low
8,AMER-2020-115812,2020-06-09,20200609,Thomas Hodges,United States,New York City,AMER,NAMER,BNP Paribas,1065,Finance,SMB,Site Analytics,07842ES7DY,498.93,6.0,0.2,70.816875,0.14193749624195778,354.08437499999997,83.155,2020,6,Low,High
9,AMER-2020-115812,2020-06-09,20200609,Thomas Hodges,United States,New York City,AMER,NAMER,BNP Paribas,1065,Finance,SMB,ContactMatcher,XPBOBXWXA3,18.504,3.0,0.2,5.7825,0.31249999999999994,28.912499999999998,6.168,2020,6,Low,High
10,AMER-2020-115812,2020-06-09,20200609,Thomas Hodges,United States,New York City,AMER,NAMER,BNP Paribas,1065,Finance,SMB,OneView,71J8P9Z1P0,114.9,5.0,0.0,34.47,0.3,0.0,22.98,2020,6,Low,Low
11,AMER-2020-115812,2020-06-09,20200609,Thomas Hodges,United States,New York City,AMER,NAMER,BNP Paribas,1065,Finance,SMB,ContactMatcher,43NZ37VE2D,498.93,9.0,0.2,70.816875,0.14193749624195778,354.08437499999997,55.43666666666667,2020,6,Low,High
12,AMER-2020-115812,2020-06-09,20200609,Thomas Hodges,United States,New York City,AMER,NAMER,BNP Paribas,1065,Finance,SMB,Site Analytics,JG14MOU94R,498.93,4.0,0.2,68.3568,0.13700679454031628,341.784,124.7325,2020,6,Low,High
13,EMEA-2023-114412,2023-04-16,20230416,Adrian Hunter,Sweden,Stockholm,EMEA,NOR,Engie,1062,Energy,SMB,Support,FE5QJBIUN1,15.552,3.0,0.2,5.4432,0.35000000000000003,27.215999999999998,5.184,2023,4,Low,High
14,AMER-2022-161389,2022-12-06,20221206,Adrian Abraham,Canada,Toronto,AMER,NAMER,Microsoft,1066,Tech,SMB,ContactMatcher,COK66F8IC1,407.976,3.0,0.2,70.816875,0.173580982704865,354.08437499999997,135.992,2022,12,Low,High
15,APJ-2021-118983,2021-11-22,20211122,Emily Morrison,Japan,Saitama,APJ,JAPN,Pfizer,1074,Healthcare,Enterprise,OneView,D8FGC56NNX,68.81,5.0,0.5,-39.724125,-0.5773016276703967,-79.44825,13.762,2021,11,High,Low
